Feature,Importance
cat__model_reduced_ranger supercrew xl pickup,1.727712830106836e-05
cat__model_reduced_mx-5 miata grand touring,1.5838771138368137e-05
cat__model_reduced_tacoma access cab pickup,1.2973493261824562e-05
cat__model_reduced_mdx sh-awd sport utility,1.1182522758969077e-05
cat__model_reduced_mustang gt coupe 2d,8.44155447180324e-06
cat__model_reduced_wrangler sport suv 2d,8.341604544437165e-06
cat__model_reduced_xt4 sport suv 4d,8.26752805205091e-06
cat__manufacturer_land rover,7.86667633071863e-06
cat__model_reduced_expedition xlt sport,7.389007369306795e-06
cat__model_reduced_sierra 1500 regular cab,5.913881167723014e-06
cat__model_reduced_f150 super cab xl pickup 4d,5.582764579184108e-06
cat__model_reduced_qx60 3.5 sport utility,5.362043070451211e-06
cat__model_reduced_challenger r/t coupe 2d,5.2595166674923275e-06
cat__model_reduced_1500 crew cab big horn,3.821086483595897e-06
cat__model_reduced_silverado 1500 ld,2.1008036912574e-06
cat__model_reduced_model 3 standard range,6.09262840911979e-07
