Feature,Importance
cat__model_reduced_camaro ss coupe 2d,7.477052559492299e-05
cat__model_reduced_town and country,7.47695085130429e-05
cat__model_reduced_mkz,7.200576206940816e-05
cat__model_reduced_tundra double cab sr,7.137749015569888e-05
cat__model_reduced_passat,7.050705384593018e-05
cat__model_reduced_town car,6.741156635637331e-05
cat__model_reduced_mazda3,6.608500843911155e-05
cat__model_reduced_4runner sr5 sport utility,6.500593607709784e-05
cat__model_reduced_encore,6.463032233042015e-05
cat__model_reduced_accord ex-l,6.329256464529812e-05
cat__model_reduced_srx,6.118393895817547e-05
cat__model_reduced_f150 supercrew cab xlt,5.9277381174228894e-05
cat__model_reduced_transit,5.6326862186105336e-05
cat__model_reduced_tl,5.536682094948427e-05
cat__model_reduced_silverado 1500 regular,5.483914573241238e-05
cat__model_reduced_veloster,5.0929318304948114e-05
cat__model_reduced_e-class,4.673090062454233e-05
cat__model_reduced_3 series 330i xdrive sedan,4.614715516366833e-05
cat__model_reduced_tundra crewmax sr5 pickup,4.37832640267344e-05
cat__model_reduced_sportage,4.3588939851302493e-05
cat__model_reduced_rx 350,4.280368968681443e-05
cat__model_reduced_colorado extended cab,4.156942509286967e-05
cat__model_reduced_x3,3.973798539133086e-05
cat__model_reduced_q5,3.922970063889255e-05
cat__model_reduced_wrangler unlimited all new,2.95255346349712e-05
cat__model_reduced_mkx,2.615109401870444e-05
cat__model_reduced_silverado 1500 double,2.5174084456093903e-05
cat__model_reduced_vue,2.3079990037594096e-05
cat__model_reduced_cx-5,1.9823516160457376e-05
cat__model_reduced_tiguan,1.9013533989406125e-05
cat__model_reduced_ranger supercrew xl pickup,1.830663642212676e-05
cat__model_reduced_mx-5 miata grand touring,1.699583186542231e-05
cat__model_reduced_tacoma access cab pickup,1.3821721790372148e-05
cat__model_reduced_mdx sh-awd sport utility,1.1556032127081661e-05
cat__model_reduced_mustang gt coupe 2d,8.512397462436296e-06
cat__model_reduced_wrangler sport suv 2d,8.361422126820605e-06
cat__model_reduced_xt4 sport suv 4d,8.100205201037667e-06
cat__manufacturer_land rover,7.990199470987404e-06
cat__model_reduced_expedition xlt sport,7.299141038271622e-06
cat__model_reduced_sierra 1500 regular cab,5.938038649654355e-06
cat__model_reduced_f150 super cab xl pickup 4d,5.67050134371474e-06
cat__model_reduced_challenger r/t coupe 2d,4.339807762834474e-06
cat__model_reduced_qx60 3.5 sport utility,4.227533211641268e-06
cat__model_reduced_1500 crew cab big horn,3.875410580854301e-06
cat__model_reduced_silverado 1500 ld,2.0557127259189257e-06
cat__model_reduced_model 3 standard range,5.448049455450859e-07
